DATE,IPG3113N
1972-01-01,74.6385
1972-02-01,62.5554
1972-03-01,57.5046
1972-04-01,56.2333
1972-05-01,56.6197
1972-06-01,58.9134
1972-07-01,60.1262
1972-08-01,61.6847
1972-09-01,65.3464
1972-10-01,93.1022
1972-11-01,91.9384
1972-12-01,92.2597
1973-01-01,79.4889
1973-02-01,67.2754
1973-03-01,60.6097
1973-04-01,61.2107
1973-05-01,62.4189
1973-06-01,65.1934
1973-07-01,62.7436
1973-08-01,63.7291
1973-09-01,70.1886
1973-10-01,89.6334
1973-11-01,95.1430
1973-12-01,91.6248
1974-01-01,77.2300
1974-02-01,72.7931
1974-03-01,67.2352
1974-04-01,58.6064
1974-05-01,64.9621
1974-06-01,69.2915
1974-07-01,57.5179
1974-08-01,61.9977
1974-09-01,61.1319
1974-10-01,86.4595
1974-11-01,88.1385
1974-12-01,75.7634
1975-01-01,58.4481
1975-02-01,45.9752
1975-03-01,44.2089
1975-04-01,52.1356
1975-05-01,53.0585
1975-06-01,55.2547
1975-07-01,54.3151
1975-08-01,58.2870
1975-09-01,57.7428
1975-10-01,83.8241
1975-11-01,91.8427
1975-12-01,88.7841
1976-01-01,76.3709
1976-02-01,65.2482
1976-03-01,53.8063
1976-04-01,55.9583
1976-05-01,61.2559
1976-06-01,59.2650
1976-07-01,60.2855
1976-08-01,62.3481
1976-09-01,67.0590
1976-10-01,94.1793
1976-11-01,97.5425
1976-12-01,99.6218
1977-01-01,85.1323
1977-02-01,78.6938
1977-03-01,67.5275
1977-04-01,66.3800
1977-05-01,67.9570
1977-06-01,68.2077
1977-07-01,66.0152
1977-08-01,67.9715
1977-09-01,73.2254
1977-10-01,94.8798
1977-11-01,92.2255
1977-12-01,98.1990
1978-01-01,78.2847
1978-02-01,69.9303
1978-03-01,66.4863
1978-04-01,67.3613
1978-05-01,66.7801
1978-06-01,68.0946
1978-07-01,63.1467
1978-08-01,66.1613
1978-09-01,72.1200
1978-10-01,91.5654
1978-11-01,97.3533
1978-12-01,99.4282
1979-01-01,85.9585
1979-02-01,73.8648
1979-03-01,70.6219
1979-04-01,67.2077
1979-05-01,68.2578
1979-06-01,70.6167
1979-07-01,65.1248
1979-08-01,67.1413
1979-09-01,70.3602
1979-10-01,88.0263
1979-11-01,92.9264
1979-12-01,91.9604
1980-01-01,75.6770
1980-02-01,73.5049
1980-03-01,64.8382
1980-04-01,57.0723
1980-05-01,64.7393
1980-06-01,67.0362
1980-07-01,61.8606
1980-08-01,67.2932
1980-09-01,67.9049
1980-10-01,87.8421
1980-11-01,92.9684
1980-12-01,93.2555
1981-01-01,83.9206
1981-02-01,78.8002
1981-03-01,67.9846
1981-04-01,67.9081
1981-05-01,72.5286
1981-06-01,72.2513
1981-07-01,68.9855
1981-08-01,71.1740
1981-09-01,72.5345
1981-10-01,103.2366
1981-11-01,101.9380
1981-12-01,98.7426
1982-01-01,83.7032
1982-02-01,81.0889
1982-03-01,72.4235
1982-04-01,64.1086
1982-05-01,66.5909
1982-06-01,68.4003
1982-07-01,66.4290
1982-08-01,67.6733
1982-09-01,70.7389
1982-10-01,99.3045
1982-11-01,100.0089
